model,horizon_steps,horizon_days,final_mse,step_losses
gru,15,150,0.07407953590154648,"[0.0, 0.05336012318730354, 0.03405822068452835, 0.05443273112177849, 0.040817297995090485, 0.060650356113910675, 0.056920818984508514, 0.07535609602928162, 0.05483817309141159, 0.0743979662656784, 0.059458136558532715, 0.06984337419271469, 0.06923239678144455, 0.08025484532117844, 0.08070394396781921, 0.07407953590154648]"
gru,20,200,0.052506931126117706,"[0.0, 0.05336012318730354, 0.03405822068452835, 0.05443273112177849, 0.040817297995090485, 0.060650356113910675, 0.056920818984508514, 0.07535609602928162, 0.05483817309141159, 0.0743979662656784, 0.059458136558532715, 0.06984337419271469, 0.06923239678144455, 0.08025484532117844, 0.08070394396781921, 0.07407953590154648, 0.07208678871393204, 0.05835220590233803, 0.0747821107506752, 0.06812936812639236, 0.052506931126117706]"
gru,30,300,0.09221802651882172,"[0.0, 0.05336012318730354, 0.03405822068452835, 0.05443273112177849, 0.040817297995090485, 0.060650356113910675, 0.056920818984508514, 0.07535609602928162, 0.05483817309141159, 0.0743979662656784, 0.059458136558532715, 0.06984337419271469, 0.06923239678144455, 0.08025484532117844, 0.08070394396781921, 0.07407953590154648, 0.07208678871393204, 0.05835220590233803, 0.0747821107506752, 0.06812936812639236, 0.052506931126117706, 0.0659671202301979, 0.14912377297878265, 0.06530439108610153, 0.06851412355899811, 0.07964977622032166, 0.06355993449687958, 0.08609410375356674, 0.07858122885227203, 0.09273586422204971, 0.09221802651882172]"
gru,40,400,0.09249892085790634,"[0.0, 0.05336012318730354, 0.03405822068452835, 0.05443273112177849, 0.040817297995090485, 0.060650356113910675, 0.056920818984508514, 0.07535609602928162, 0.05483817309141159, 0.0743979662656784, 0.059458136558532715, 0.06984337419271469, 0.06923239678144455, 0.08025484532117844, 0.08070394396781921, 0.07407953590154648, 0.07208678871393204, 0.05835220590233803, 0.0747821107506752, 0.06812936812639236, 0.052506931126117706, 0.0659671202301979, 0.14912377297878265, 0.06530439108610153, 0.06851412355899811, 0.07964977622032166, 0.06355993449687958, 0.08609410375356674, 0.07858122885227203, 0.09273586422204971, 0.09221802651882172, 0.10023178905248642, 0.10476286709308624, 0.1113961711525917, 0.12929420173168182, 0.12331423908472061, 0.11064745485782623, 0.1413012444972992, 0.1312873214483261, 0.09165095537900925, 0.09249892085790634]"
gru,50,500,0.16374269127845764,"[0.0, 0.05336012318730354, 0.03405822068452835, 0.05443273112177849, 0.040817297995090485, 0.060650356113910675, 0.056920818984508514, 0.07535609602928162, 0.05483817309141159, 0.0743979662656784, 0.059458136558532715, 0.06984337419271469, 0.06923239678144455, 0.08025484532117844, 0.08070394396781921, 0.07407953590154648, 0.07208678871393204, 0.05835220590233803, 0.0747821107506752, 0.06812936812639236, 0.052506931126117706, 0.0659671202301979, 0.14912377297878265, 0.06530439108610153, 0.06851412355899811, 0.07964977622032166, 0.06355993449687958, 0.08609410375356674, 0.07858122885227203, 0.09273586422204971, 0.09221802651882172, 0.10023178905248642, 0.10476286709308624, 0.1113961711525917, 0.12929420173168182, 0.12331423908472061, 0.11064745485782623, 0.1413012444972992, 0.1312873214483261, 0.09165095537900925, 0.09249892085790634, 0.10763361304998398, 0.11251958459615707, 0.10002271085977554, 0.12013278156518936, 0.12886996567249298, 0.12900498509407043, 0.10296650230884552, 0.15908114612102509, 0.1546289324760437, 0.16374269127845764]"
gru,100,1000,0.13438093662261963,"[0.0, 0.05336012318730354, 0.03405822068452835, 0.05443273112177849, 0.040817297995090485, 0.060650356113910675, 0.056920818984508514, 0.07535609602928162, 0.05483817309141159, 0.0743979662656784, 0.059458136558532715, 0.06984337419271469, 0.06923239678144455, 0.08025484532117844, 0.08070394396781921, 0.07407953590154648, 0.07208678871393204, 0.05835220590233803, 0.0747821107506752, 0.06812936812639236, 0.052506931126117706, 0.0659671202301979, 0.14912377297878265, 0.06530439108610153, 0.06851412355899811, 0.07964977622032166, 0.06355993449687958, 0.08609410375356674, 0.07858122885227203, 0.09273586422204971, 0.09221802651882172, 0.10023178905248642, 0.10476286709308624, 0.1113961711525917, 0.12929420173168182, 0.12331423908472061, 0.11064745485782623, 0.1413012444972992, 0.1312873214483261, 0.09165095537900925, 0.09249892085790634, 0.10763361304998398, 0.11251958459615707, 0.10002271085977554, 0.12013278156518936, 0.12886996567249298, 0.12900498509407043, 0.10296650230884552, 0.15908114612102509, 0.1546289324760437, 0.16374269127845764, 0.12407597154378891, 0.12504154443740845, 0.1271774023771286, 0.15138602256774902, 0.14431893825531006, 0.16969932615756989, 0.16230164468288422, 0.15550877153873444, 0.14626482129096985, 0.11824381351470947, 0.13203099370002747, 0.1382017433643341, 0.1278456449508667, 0.13266117870807648, 0.1396757811307907, 0.13938376307487488, 0.1447349488735199, 0.13742095232009888, 0.16395099461078644, 0.14055991172790527, 0.1307992786169052, 0.14812032878398895, 0.12809349596500397, 0.13249796628952026, 0.1568182408809662, 0.12109964340925217, 0.16884735226631165, 0.12128255516290665, 0.12716253101825714, 0.12803085148334503, 0.13733965158462524, 0.12306075543165207, 0.1186094805598259, 0.11342915147542953, 0.12335356324911118, 0.09379510581493378, 0.08572101593017578, 0.09288974851369858, 0.08916912227869034, 0.08342714607715607, 0.13582675158977509, 0.12326015532016754, 0.11484959721565247, 0.12636838853359222, 0.1539708971977234, 0.13965709507465363, 0.13121992349624634, 0.16405880451202393, 0.14617209136486053, 0.13438093662261963]"
depth_only,5,50,0.0274,"[0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274]"
depth_only,10,100,0.0274,"[0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274]"
depth_only,15,150,0.0274,"[0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274]"
depth_only,20,200,0.0274,"[0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274]"
depth_only,30,300,0.0274,"[0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274]"
depth_only,40,400,0.0274,"[0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274]"
depth_only,50,500,0.0274,"[0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274]"
depth_only,100,1000,0.0274,"[0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274]"
