epoch,train_loss,val_loss,phase,window_size
1,1.504050,18.786707,1,10
2,0.176897,18.445457,1,10
3,0.145552,18.224850,1,10
4,0.129028,18.077299,1,10
5,0.121516,17.934582,1,10
6,0.120684,17.788911,1,10
7,0.118770,17.698883,1,10
8,0.110430,17.601211,1,10
9,0.113908,17.511087,1,10
10,0.109996,17.401487,1,10
11,0.112873,17.336487,1,10
12,0.111107,17.252521,1,10
13,0.109940,17.205875,1,10
14,0.111146,17.173532,1,10
15,0.104113,17.120678,1,10
16,0.101701,17.076422,1,10
17,0.103539,17.058451,1,10
18,0.102168,17.014336,1,10
19,0.103787,16.979809,1,10
20,0.098246,16.958208,1,10
21,0.101396,17.076357,1,10
22,0.109718,16.940280,1,10
23,0.103041,16.894104,1,10
24,0.100409,16.871789,1,10
25,0.100729,16.869445,1,10
26,0.103001,16.846773,1,10
27,0.097200,16.828402,1,10
28,0.094901,16.827699,1,10
29,0.097184,16.823179,1,10
30,0.099376,16.711861,1,10
31,0.092606,16.697024,1,10
32,0.095295,16.671873,1,10
33,0.093449,16.676048,1,10
34,0.094550,16.669642,1,10
35,0.093280,16.681695,1,10
36,0.092707,16.711883,1,10
37,0.093918,16.713760,1,10
38,0.093898,16.671897,1,10
39,0.091629,16.673650,1,10
40,0.090162,16.632291,1,10
41,0.091579,16.606113,1,10
42,0.090526,16.681972,1,10
43,0.090184,16.682925,1,10
44,0.090050,16.679543,1,10
45,0.089099,16.715026,1,10
46,0.091141,16.717480,1,10
47,0.090817,16.732585,1,10
48,0.089375,16.689134,1,10
49,0.088223,16.686617,1,10
50,0.089601,16.779616,1,10
51,0.088054,16.719308,1,10
52,0.087554,16.694462,1,10
53,0.086832,16.656555,1,10
54,0.087979,16.627184,1,10
55,0.087749,16.605118,1,10
56,0.086879,16.568683,1,10
57,0.086868,16.560189,1,10
58,0.085344,16.511516,1,10
59,0.085787,16.450428,1,10
60,0.085970,16.439056,1,10
61,0.085494,16.408749,1,10
62,0.084329,16.463293,1,10
63,0.085256,16.384039,1,10
64,0.083916,16.401440,1,10
65,0.083471,16.414307,1,10
66,0.083756,16.380734,1,10
67,0.083166,16.397904,1,10
68,0.083352,16.381580,1,10
69,0.082689,16.424432,1,10
70,0.083959,16.447202,1,10
71,0.083881,16.429950,1,10
72,0.082583,16.431171,1,10
73,0.083756,16.374613,1,10
74,0.082255,16.437231,1,10
75,0.082142,16.417085,1,10
76,0.082101,16.450094,1,10
77,0.081463,16.471428,1,10
78,0.081732,16.454504,1,10
79,0.081031,16.460923,1,10
80,0.081214,16.459950,1,10
81,0.080783,16.496457,1,10
82,0.081789,16.494910,1,10
83,0.080584,16.504028,1,10
84,0.080394,16.513930,1,10
85,0.080343,16.505271,1,10
86,0.079903,16.505215,1,10
87,0.079870,16.519815,1,10
88,0.079864,16.521456,1,10
89,0.080746,16.509408,1,10
90,0.079639,16.525892,1,10
91,0.079317,16.521104,1,10
92,0.080157,16.519920,1,10
93,0.079310,16.522637,1,10
94,0.079242,16.520787,1,10
95,0.079006,16.524679,1,10
96,0.079071,16.524279,1,10
97,0.078967,16.524481,1,10
98,0.078938,16.524693,1,10
99,0.078878,16.525064,1,10
100,0.079041,16.524656,1,10
