WMO_ID,cast_a,cast_b,gap_hours,delta_Temperature,delta_Salinity,delta_z,delta_Oxygen,suspicion_score
6901180.0,18148895,18148896,2.5318,33.830452,216.080636,213.727121,0.096163,36.362252
6901180.0,18148897,18148898,0.469,30.267783,62.382688,61.661328,0.022742,30.736783000000003
6901180.0,18148898,18148903,3.281,30.658081,44.237822,43.805984,0.034525,33.939081
6901180.0,18148903,18148904,2.4372,29.945758,121.429662,120.093312,0.005766,32.382958
6901180.0,18148905,18148906,0.4682,30.266955,90.284725,89.270611,0.0235,30.735155
6901180.0,18148906,18148911,3.0939,30.744425,37.012359,36.656913,0.051303,33.838325
6901180.0,18148911,18148912,2.5781,36.025995,180.524269,178.587615,0.103862,38.604095
6901180.0,18148914,18148915,0.422,33.490525,109.636736,108.435624,0.023576,33.912524999999995
6901180.0,18148915,18148917,2.7658,35.502117,44.414754,44.002202,0.130722,38.267917
6901180.0,18148917,18148919,2.672,38.227534,269.47252,266.608326,0.191844,40.899533999999996
6901180.0,18148920,18148921,0.4219,22.714002,145.142084,143.611234,0.134138,23.135902
6901180.0,18148921,18148923,3.0,21.584628,4.878885,4.836226,0.055217,24.584628
6901180.0,18148923,18148924,2.25,32.607639,270.520201,267.635114,0.143268,34.857639
6901180.0,18148925,18148926,0.469,31.506591,70.667913,69.854901,0.034508,31.975591
6901180.0,18148926,18148928,3.2348,34.173975,35.930116,35.580809,0.045737,37.408775
6901180.0,18148928,18148929,2.531,33.573206,191.604398,189.532927,0.087636,36.104206
6901180.0,18148930,18148931,0.5152,31.705376,32.3967,31.988104,0.053563,32.220576
6901180.0,18148931,18148935,3.6098,29.304969,67.277925,66.609151,0.064568,32.914769
6901180.0,18148935,18148936,2.3902,28.932589,158.120244,156.415174,0.015137,31.322789
6901180.0,18148937,18148938,0.5152,28.565555,48.99222,48.403557,0.038238,29.080755
6901180.0,18148938,18148944,3.6098,33.117947,63.634158,63.000878,0.082283,36.727747
6901180.0,18148944,18148945,2.578,33.204559,178.9158,176.981049,0.101775,35.782559000000006
6901180.0,18148947,18148948,0.469,30.51734,42.416446,41.899998,0.023145,30.986340000000002
6901180.0,18148948,18148950,3.75,33.428,67.192739,66.523433,0.067799,37.178
6901180.0,18148950,18148951,2.531,35.897005,186.722397,184.72894,0.093378,38.428005
6901180.0,18149229,18149230,5.156,4.027689,209.868921,207.546683,0.045764,9.183689
6901180.0,18149230,18149233,5.0159,0.911941,4.777429,4.728188,0.002523,5.927841
6901180.0,18149234,18149235,5.1098,4.540268,240.671364,238.020904,0.049632,9.650068000000001
6901180.0,18149235,18149236,4.9682,0.241542,0.811116,0.804067,0.01129,5.209742
6901180.0,18149237,18149243,5.156,3.468921,213.497436,211.149529,0.051548,8.624921
6901180.0,18149243,18149244,5.203,0.505067,5.849012,5.786742,0.001112,5.708067000000001
6901180.0,18149246,18149248,5.297,1.853592,236.141255,233.559323,0.051462,7.150592
6901180.0,18149248,18149249,5.0158,3.114294,7.574971,7.499102,0.018675,8.130094
6901180.0,18149250,18149252,5.203,6.784223,209.022872,206.715298,0.053213,11.987223
6901180.0,18149252,18149253,4.875,1.751243,23.509118,23.272108,0.009637,6.6262430000000005
6901180.0,18149254,18149255,5.2962,2.122755,203.702169,201.45685,0.058389,7.418955
6901180.0,18149255,18149258,5.0159,2.357853,4.857383,4.808675,0.017532,7.373753000000001
6901180.0,18149259,18149260,5.1098,3.959833,239.921309,237.315912,0.071964,9.069633
6901180.0,18149260,18149261,4.9212,0.481085,30.212381,29.909363,0.015027,5.402285
6901180.0,18149263,18149268,5.1098,2.45997,188.184458,186.127825,0.052041,7.56977
6901180.0,18149268,18149269,5.0621,0.264058,13.04841,12.907347,0.001973,5.326158
6901180.0,18149270,18149272,5.1568,2.73735,263.463435,260.608931,0.086353,7.89415
6901180.0,18149272,18149273,5.0152,0.298973,2.480148,2.453157,0.001336,5.314173
6901180.0,18149274,18149276,5.203,2.362254,214.984232,212.60593,0.039097,7.565254
6901180.0,18149276,18149277,4.828,2.008443,24.085545,23.841046,0.029772,6.836443000000001
6901180.0,18149278,18149279,5.203,4.137271,228.468928,225.978484,0.06796,9.340271000000001
6901180.0,18149279,18149282,5.156,0.961247,10.050822,9.946005,0.004658,6.117247
6901180.0,18149283,18149284,5.1561,2.903156,207.301569,205.015673,0.049753,8.059256000000001
6901180.0,18149284,18149285,4.875,1.73102,3.961921,3.928972,0.01986,6.60602
