model,horizon_steps,horizon_days,final_mse,step_losses
gru,15,150,0.1903449296951294,"[0.0, 0.49466583132743835, 0.4256167411804199, 0.362282395362854, 0.35078510642051697, 0.3257482945919037, 0.25364595651626587, 0.24785557389259338, 0.21372497081756592, 0.2435740828514099, 0.24728858470916748, 0.2276799976825714, 0.20728883147239685, 0.17067357897758484, 0.2016238421201706, 0.1903449296951294]"
gru,20,200,0.21453559398651123,"[0.0, 0.49466583132743835, 0.4256167411804199, 0.362282395362854, 0.35078510642051697, 0.3257482945919037, 0.25364595651626587, 0.24785557389259338, 0.21372497081756592, 0.2435740828514099, 0.24728858470916748, 0.2276799976825714, 0.20728883147239685, 0.17067357897758484, 0.2016238421201706, 0.1903449296951294, 0.18136242032051086, 0.18706923723220825, 0.19713887572288513, 0.19541218876838684, 0.21453559398651123]"
gru,30,300,0.28902357816696167,"[0.0, 0.49466583132743835, 0.4256167411804199, 0.362282395362854, 0.35078510642051697, 0.3257482945919037, 0.25364595651626587, 0.24785557389259338, 0.21372497081756592, 0.2435740828514099, 0.24728858470916748, 0.2276799976825714, 0.20728883147239685, 0.17067357897758484, 0.2016238421201706, 0.1903449296951294, 0.18136242032051086, 0.18706923723220825, 0.19713887572288513, 0.19541218876838684, 0.21453559398651123, 0.2481798380613327, 0.2505403161048889, 0.2542424201965332, 0.23401662707328796, 0.24535773694515228, 0.24557726085186005, 0.2453254908323288, 0.26233989000320435, 0.2847197949886322, 0.28902357816696167]"
gru,40,400,0.25840598344802856,"[0.0, 0.49466583132743835, 0.4256167411804199, 0.362282395362854, 0.35078510642051697, 0.3257482945919037, 0.25364595651626587, 0.24785557389259338, 0.21372497081756592, 0.2435740828514099, 0.24728858470916748, 0.2276799976825714, 0.20728883147239685, 0.17067357897758484, 0.2016238421201706, 0.1903449296951294, 0.18136242032051086, 0.18706923723220825, 0.19713887572288513, 0.19541218876838684, 0.21453559398651123, 0.2481798380613327, 0.2505403161048889, 0.2542424201965332, 0.23401662707328796, 0.24535773694515228, 0.24557726085186005, 0.2453254908323288, 0.26233989000320435, 0.2847197949886322, 0.28902357816696167, 0.3072798550128937, 0.32660651206970215, 0.34402555227279663, 0.385248064994812, 0.4436511695384979, 0.4417969584465027, 0.31792178750038147, 0.308755487203598, 0.288924902677536, 0.25840598344802856]"
gru,50,500,0.33902692794799805,"[0.0, 0.49466583132743835, 0.4256167411804199, 0.362282395362854, 0.35078510642051697, 0.3257482945919037, 0.25364595651626587, 0.24785557389259338, 0.21372497081756592, 0.2435740828514099, 0.24728858470916748, 0.2276799976825714, 0.20728883147239685, 0.17067357897758484, 0.2016238421201706, 0.1903449296951294, 0.18136242032051086, 0.18706923723220825, 0.19713887572288513, 0.19541218876838684, 0.21453559398651123, 0.2481798380613327, 0.2505403161048889, 0.2542424201965332, 0.23401662707328796, 0.24535773694515228, 0.24557726085186005, 0.2453254908323288, 0.26233989000320435, 0.2847197949886322, 0.28902357816696167, 0.3072798550128937, 0.32660651206970215, 0.34402555227279663, 0.385248064994812, 0.4436511695384979, 0.4417969584465027, 0.31792178750038147, 0.308755487203598, 0.288924902677536, 0.25840598344802856, 0.28377431631088257, 0.33870935440063477, 0.30189064145088196, 0.2764541506767273, 0.30243226885795593, 0.3058997690677643, 0.3382348418235779, 0.37181729078292847, 0.3367989659309387, 0.33902692794799805]"
gru,100,1000,0.4616912305355072,"[0.0, 0.49466583132743835, 0.4256167411804199, 0.362282395362854, 0.35078510642051697, 0.3257482945919037, 0.25364595651626587, 0.24785557389259338, 0.21372497081756592, 0.2435740828514099, 0.24728858470916748, 0.2276799976825714, 0.20728883147239685, 0.17067357897758484, 0.2016238421201706, 0.1903449296951294, 0.18136242032051086, 0.18706923723220825, 0.19713887572288513, 0.19541218876838684, 0.21453559398651123, 0.2481798380613327, 0.2505403161048889, 0.2542424201965332, 0.23401662707328796, 0.24535773694515228, 0.24557726085186005, 0.2453254908323288, 0.26233989000320435, 0.2847197949886322, 0.28902357816696167, 0.3072798550128937, 0.32660651206970215, 0.34402555227279663, 0.385248064994812, 0.4436511695384979, 0.4417969584465027, 0.31792178750038147, 0.308755487203598, 0.288924902677536, 0.25840598344802856, 0.28377431631088257, 0.33870935440063477, 0.30189064145088196, 0.2764541506767273, 0.30243226885795593, 0.3058997690677643, 0.3382348418235779, 0.37181729078292847, 0.3367989659309387, 0.33902692794799805, 0.3695392310619354, 0.3655107617378235, 0.36425304412841797, 0.43110013008117676, 0.3664326071739197, 0.3599435091018677, 0.3518105149269104, 0.38324934244155884, 0.3849807381629944, 0.3846890330314636, 0.3658803403377533, 0.3659769296646118, 0.3382512927055359, 0.3873966336250305, 0.39043331146240234, 0.3824382424354553, 0.3740220069885254, 0.4503220021724701, 0.3776322305202484, 0.43378135561943054, 0.40768927335739136, 0.4367803931236267, 0.3962741792201996, 0.3686489760875702, 0.3228899836540222, 0.3791677951812744, 0.3205716609954834, 0.3694692552089691, 0.371910035610199, 0.39520329236984253, 0.42263704538345337, 0.3682972192764282, 0.3783152103424072, 0.40295302867889404, 0.4135487973690033, 0.39716872572898865, 0.3686930537223816, 0.3507871627807617, 0.3815142810344696, 0.36551737785339355, 0.3562067151069641, 0.3502825200557709, 0.3452453315258026, 0.3689565658569336, 0.4060910940170288, 0.4006669223308563, 0.44017475843429565, 0.3731834590435028, 0.3806278705596924, 0.4616912305355072]"
depth_only,5,50,0.0274,"[0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274]"
depth_only,10,100,0.0274,"[0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274]"
depth_only,15,150,0.0274,"[0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274]"
depth_only,20,200,0.0274,"[0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274]"
depth_only,30,300,0.0274,"[0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274]"
depth_only,40,400,0.0274,"[0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274]"
depth_only,50,500,0.0274,"[0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274]"
depth_only,100,1000,0.0274,"[0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274, 0.0274]"
